ID,Type,Name,Publication Date,Author/Artist,Publisher,Available/Total Copies
4,Journal,Nature (Vol. 600),2022-09-10,,Springer Nature,1/1
5,E-Book,Sapiens: A Brief History of Humankind,2011-11-11,Yuval Noah Harari,Harper,1/1
8,Journal,Science (Vol. 370),2020-10-23,,American Association for the Advancement of Science,Unavailable
9,E-Book,The Subtle Art of Not Giving a F*ck,2016-09-13,Mark Manson,HarperOne,2/2
10,DVD,Inception,2010-07-16,Christopher Nolan,Warner Bros. Home Entertainment,1/1
11,AudioBook,Harry Potter and the Philosopher's Stone,1997-06-26,J.K. Rowling,Pottermore Publishing,Unavailable
14,DVD,The Matrix,1999-03-31,The Wachowskis,Warner Home Video,1/1
15,Blu-Ray,Avengers: Endgame,2019-04-26,Anthony & Joe Russo,Walt Disney Studios Home Entertainment,Unavailable
16,E-Book,Atomic Habits,2018-10-16,James Clear,Penguin Random House,1/1
17,Journal,Cell (Vol. 185),2023-02-15,,Elsevier,Unavailable
19,E-Book,Becoming,2018-11-13,Michelle Obama,Crown Publishing Group,1/1
21,textbook,database design,1993-12-24,Jen Widom,Pearson,1/1
22,Book,Harry Potter and the Deathly Hallows,2007-07-21,J.K. Rowling,Bloomsbury,5/5
24,Journal,PLOS ONE (Vol. 18),2024-01-01,Various,PLOS,1/1
25,E-Book,Educated,2018-02-20,Tara Westover,Random House,Unavailable
26,DVD,Interstellar,2014-11-07,Christopher Nolan,Paramount Pictures,1/1
28,Magazine,Vogue (May 2024),2024-05-01,Various,Condé Nast,Unavailable
29,AudioBook,Eleanor Oliphant Is Completely Fine,2017-05-09,Gail Honeyman,Penguin Audio,1/1
30,E-Book,Digital Minimalism,2019-02-05,Cal Newport,Portfolio,1/1
31,Journal,The Lancet (Vol. 401),2023-12-10,Various,Elsevier,1/1
33,Magazine,Rolling Stone (January 2025),2025-01-01,Various,Penske Media,1/1
34,DVD,Frozen,2013-11-27,Chris Buck & Jennifer Lee,Walt Disney Pictures,1/1
36,Blu-Ray,Jurassic Park,1993-06-11,Steven Spielberg,Universal Pictures,Unavailable
37,E-Book,"Thinking, Fast and Slow",2011-10-25,Daniel Kahneman,"Farrar, Straus and Giroux",Unavailable
38,AudioBook,The Power of Habit,2012-02-28,Charles Duhigg,Random House Audio,Unavailable
39,Book,The Da Vinci Code,2003-04-03,Dan Brown,Doubleday,Unavailable
40,Journal,IEEE Transactions on Computers (Vol. 73),2024-06-15,Various,IEEE,Unavailable
41,DVD,Toy Story,1995-11-22,John Lasseter,Walt Disney Pictures,Unavailable
43,Textbook,Calculus I,1993-07-12,James Stewart,Pearson,Unavailable
44,Book,One Piece,1997-07-13,Eiichiro Oda,Shonen Jump,1/1
